# CAPTION: Data are n (%) or mean (SD). Source: ADSL. Continuous variables computed as arithmetic mean and SD from baseline values (WEIGHTBL, BMIBL, etc.). Categorical variables computed as count and percentage of N randomised per arm. Population: all randomised participants (ITT).
# ---
"","Placebo","1mg","3mg","6mg","9mg","6to9mg","3to9mg","Overall"
"N","53","28","24","28","54","24","52","263"
"Age, years","47.9 (11.0)","49.0 (11.2)","50.8 (12.8)","46.1 (13.1)","49.0 (11.7)","48.0 (12.8)","46.8 (12.6)","48.1 (12.0)"
"Female","44 (83%)","22 (79%)","21 (88%)","24 (86%)","42 (78%)","19 (79%)","41 (79%)","213 (81%)"
"Male","9 (17%)","6 (21%)","3 (12%)","4 (14%)","12 (22%)","5 (21%)","11 (21%)","50 (19%)"
"White","43 (81%)","23 (82%)","19 (79%)","21 (75%)","44 (81%)","19 (79%)","37 (71%)","206 (78%)"
"Black or African American","6 (11%)","4 (14%)","4 (17%)","5 (18%)","9 (17%)","4 (17%)","12 (23%)","44 (17%)"
"Bodyweight, kg","109.5 (17.5)","106.5 (18.3)","113.7 (18.7)","113.9 (20.6)","106.7 (19.8)","109.1 (20.5)","108.4 (17.0)","109.2 (18.7)"
"BMI, kg/m2","39.4 (5.1)","39.0 (6.1)","41.9 (5.8)","42.2 (6.8)","39.4 (5.9)","39.2 (5.5)","39.1 (4.9)","39.8 (5.7)"
"HbA1c, mmol/mol","36.4 (3.9)","38.0 (4.2)","36.2 (4.0)","37.9 (3.8)","36.7 (3.3)","36.3 (3.1)","37.3 (3.9)","36.9 (3.8)"
"Fasting glucose, mmol/L","5.3 (0.7)","5.1 (0.6)","5.1 (0.6)","5.1 (0.8)","5.3 (0.6)","5.0 (0.6)","5.2 (0.6)","5.2 (0.6)"
"Fasting insulin, mIU/L","94.7 (48.0)","100.3 (48.0)","139.9 (87.4)","110.6 (58.5)","128.3 (72.6)","100.4 (43.2)","112.6 (57.7)","112.1 (61.7)"
"Pulse, bpm","75.7 (10.6)","75.6 (8.2)","74.0 (8.8)","73.8 (8.0)","72.1 (9.4)","70.3 (8.9)","75.5 (11.8)","74.1 (9.9)"
"Systolic BP, mmHg","127.4 (14.2)","130.1 (10.5)","125.6 (15.6)","128.9 (14.3)","125.5 (16.1)","123.1 (14.0)","127.5 (14.1)","126.9 (14.3)"
"Diastolic BP, mmHg","83.5 (9.0)","80.0 (9.9)","79.2 (10.4)","83.3 (6.7)","77.1 (9.0)","77.7 (9.1)","76.9 (9.2)","79.6 (9.4)"
"Total cholesterol, mmol/L","5.2 (1.0)","4.9 (0.8)","5.1 (1.2)","5.4 (0.9)","5.0 (0.9)","5.2 (0.9)","5.3 (1.0)","5.1 (1.0)"
"HDL cholesterol, mmol/L","1.4 (0.3)","1.4 (0.3)","1.5 (0.3)","1.4 (0.2)","1.4 (0.3)","1.5 (0.3)","1.4 (0.3)","1.4 (0.3)"
"LDL cholesterol, mmol/L","3.2 (1.1)","3.4 (1.2)","3.6 (0.9)","3.6 (1.0)","3.1 (0.9)","3.3 (0.9)","3.1 (1.1)","3.3 (1.0)"
"Triglycerides, mmol/L","1.5 (0.6)","1.4 (0.6)","1.8 (0.7)","1.5 (0.6)","1.7 (0.9)","1.7 (0.9)","1.6 (0.8)","1.6 (0.7)"
"hsCRP, mg/L","4.5 (3.9)","5.1 (5.4)","11.3 (13.8)","4.8 (3.2)","4.3 (3.7)","4.0 (4.3)","4.8 (4.1)","5.2 (5.9)"
