Metric,Target,Simulated,Deviation,Pct_Deviation
DFS HR,0.72,0.733401346925449,0.0134013469254493,1.86
DFS KM 48mo (Pembro),0.649,0.684920112685908,0.0359201126859081,5.53
DFS KM 48mo (Placebo),0.566,0.594384044712172,0.0283840447121715,5.01
OS KM 48mo (Pembro),0.912,0.905251000410287,-0.00674899958971287,-0.74
OS KM 48mo (Placebo),0.86,0.841879428817714,-0.0181205711822856,-2.11
DFS events (Pembro),174,172,-2,-1.15
DFS events (Placebo),224,218,-6,-2.68
OS events (Pembro),55,64,9,16.36
OS events (Placebo),86,101,15,17.44
OS HR,0.62,0.602727537567921,-0.0172724624320795,-2.79
