# CAPTION: Data are n (%) or mean (SD). Source: ADSL. Continuous variables computed as arithmetic mean and SD from baseline values (WEIGHTBL, BMIBL, etc.). Categorical variables computed as count and percentage of N randomised per arm. Population: all randomised participants (ITT).
# ---
"","Placebo","1mg","3mg","6mg","9mg","6to9mg","3to9mg","Overall"
"N","53","28","24","28","54","24","52","263"
"Age, years","47.9 (11.0)","49.0 (11.2)","50.8 (12.8)","46.1 (13.1)","49.0 (11.7)","48.0 (12.8)","46.8 (12.6)","48.1 (12.0)"
"Female","44 (83%)","22 (79%)","21 (88%)","24 (86%)","42 (78%)","19 (79%)","41 (79%)","213 (81%)"
"Male","9 (17%)","6 (21%)","3 (12%)","4 (14%)","12 (22%)","5 (21%)","11 (21%)","50 (19%)"
"White","43 (81%)","23 (82%)","19 (79%)","21 (75%)","44 (81%)","19 (79%)","37 (71%)","206 (78%)"
"Black or African American","6 (11%)","4 (14%)","4 (17%)","5 (18%)","9 (17%)","4 (17%)","12 (23%)","44 (17%)"
"Bodyweight, kg","109.5 (17.5)","106.5 (18.3)","113.7 (18.7)","113.9 (20.6)","106.7 (19.8)","109.1 (20.5)","108.4 (17.0)","109.2 (18.7)"
"BMI, kg/m2","39.4 (5.1)","39.0 (6.1)","41.9 (5.8)","42.2 (6.8)","39.4 (5.9)","39.2 (5.5)","39.1 (4.9)","39.8 (5.7)"
"HbA1c, mmol/mol","36.4 (3.9)","38.0 (4.2)","36.2 (4.0)","37.9 (3.8)","36.7 (3.3)","36.3 (3.1)","37.3 (3.9)","36.9 (3.8)"
"Fasting glucose, mmol/L","5.3 (0.6)","5.0 (0.5)","5.2 (0.6)","5.2 (0.8)","5.3 (0.5)","4.9 (0.6)","5.2 (0.6)","5.2 (0.6)"
"Fasting insulin, mIU/L","95.0 (47.4)","98.9 (47.5)","139.0 (85.1)","110.9 (59.9)","128.2 (71.2)","100.7 (44.4)","112.5 (57.7)","111.9 (61.2)"
"Pulse, bpm","76.0 (10.7)","76.0 (7.8)","73.3 (8.8)","73.5 (8.1)","72.2 (9.0)","68.7 (8.9)","75.3 (12.3)","73.9 (10.0)"
"Systolic BP, mmHg","129.2 (13.1)","129.7 (11.7)","125.9 (14.6)","129.2 (14.9)","124.9 (16.7)","122.8 (13.1)","128.0 (14.9)","127.2 (14.5)"
"Diastolic BP, mmHg","82.7 (9.2)","79.8 (9.6)","77.9 (9.6)","82.2 (8.1)","77.1 (8.7)","79.0 (10.8)","77.2 (9.8)","79.3 (9.5)"
"Total cholesterol, mmol/L","5.1 (0.9)","4.9 (1.0)","5.1 (1.1)","5.4 (0.9)","5.0 (0.9)","5.2 (0.9)","5.3 (1.0)","5.1 (1.0)"
"HDL cholesterol, mmol/L","1.4 (0.3)","1.3 (0.3)","1.5 (0.3)","1.4 (0.3)","1.4 (0.3)","1.5 (0.3)","1.4 (0.3)","1.4 (0.3)"
"LDL cholesterol, mmol/L","3.2 (1.1)","3.4 (1.2)","3.6 (0.8)","3.8 (1.0)","3.1 (1.0)","3.3 (0.9)","3.1 (1.1)","3.3 (1.1)"
"Triglycerides, mmol/L","1.6 (0.6)","1.4 (0.6)","1.7 (0.7)","1.5 (0.6)","1.7 (0.8)","1.7 (0.9)","1.6 (0.7)","1.6 (0.7)"
"hsCRP, mg/L","4.4 (3.9)","5.2 (5.6)","11.3 (13.8)","4.7 (3.2)","4.3 (3.8)","4.0 (4.4)","4.8 (4.0)","5.2 (6.0)"
