# CAPTION: Data are mean (95% CI). Source: ADEFF (primary), ADVS/ADLB at Week 48 (secondary/exploratory). Primary endpoint: percent change from baseline computed as (AVAL) from ADEFF using the efficacy estimand (on-treatment data with hypothetical strategy for discontinuation). Secondary endpoints: CHG = AVAL - BASE from ADVS/ADLB at AVISITN=48 with ANL01FL='Y'. Lipids and hsCRP show PCHG (percent change). 95% CI = mean +/- 1.96*SE where SE = SD/sqrt(n).
# ---
"","Placebo","1mg","3mg","6mg","9mg","6to9mg","3to9mg"
"% change bodyweight (efficacy estimand)","-1.0 (-1.9 to -0.1)","-7.1 (-8.1 to -6.2)","-13.0 (-14.3 to -11.7)","-18.4 (-19.5 to -17.4)","-19.9 (-20.6 to -19.2)","-19.2 (-20.8 to -17.6)","-17.9 (-18.8 to -16.9)"
"Bodyweight change, kg","-0.7 (-1.7 to 0.2)","-7.5 (-9.0 to -6.0)","-14.8 (-16.7 to -12.8)","-20.2 (-22.4 to -18.1)","-20.7 (-22.0 to -19.3)","-20.0 (-22.8 to -17.2)","-18.8 (-20.7 to -16.8)"
"BMI change, kg/m2","-0.3 (-0.6 to 0.1)","-2.6 (-3.1 to -2.2)","-5.4 (-6.1 to -4.7)","-7.6 (-8.4 to -6.8)","-7.6 (-8.1 to -7.2)","-7.2 (-8.2 to -6.3)","-6.8 (-7.5 to -6.1)"
"Systolic BP change, mmHg","-1.6 (-3.3 to 0.0)","-3.7 (-6.0 to -1.4)","-7.1 (-9.9 to -4.2)","-10.7 (-13.3 to -8.1)","-8.4 (-10.2 to -6.5)","-10.0 (-12.4 to -7.7)","-9.1 (-11.3 to -7.0)"
"Diastolic BP change, mmHg","0.3 (-0.8 to 1.4)","-1.1 (-2.8 to 0.6)","-5.4 (-7.1 to -3.7)","-3.7 (-5.4 to -1.9)","-5.8 (-6.9 to -4.8)","-4.5 (-6.7 to -2.2)","-6.1 (-7.1 to -5.1)"
"Pulse change, bpm","-0.5 (-1.8 to 0.7)","0.6 (-1.2 to 2.4)","0.6 (-0.7 to 2.0)","-1.4 (-2.5 to -0.3)","-0.8 (-1.9 to 0.3)","0.8 (-0.6 to 2.1)","1.1 (-0.1 to 2.3)"
"HbA1c change, mmol/mol","-0.1 (-0.3 to 0.0)","-1.0 (-1.2 to -0.9)","-2.1 (-2.4 to -1.7)","-2.9 (-3.1 to -2.6)","-2.9 (-3.2 to -2.7)","-2.7 (-3.2 to -2.3)","-2.7 (-3.0 to -2.3)"
"Fasting glucose change, mmol/L","0.0 (-0.1 to 0.1)","-0.2 (-0.3 to -0.1)","-0.3 (-0.5 to -0.2)","-0.6 (-0.7 to -0.4)","-0.6 (-0.7 to -0.6)","-0.6 (-0.7 to -0.4)","-0.4 (-0.5 to -0.4)"
"Total cholesterol, % change","0.6 (-1.1 to 2.3)","-2.9 (-4.7 to -1.2)","-7.1 (-9.4 to -4.7)","-7.1 (-9.7 to -4.5)","-7.2 (-8.7 to -5.7)","-8.1 (-10.8 to -5.4)","-6.9 (-8.6 to -5.2)"
"LDL cholesterol, % change","1.8 (-1.1 to 4.7)","-6.0 (-10.2 to -1.8)","-5.3 (-9.8 to -0.8)","-11.9 (-15.3 to -8.5)","-13.1 (-16.0 to -10.2)","-12.9 (-17.5 to -8.2)","-12.2 (-16.2 to -8.3)"
"HDL cholesterol, % change","2.9 (1.0 to 4.8)","7.0 (3.9 to 10.1)","8.9 (6.8 to 11.0)","15.0 (12.3 to 17.8)","14.1 (12.3 to 15.8)","13.2 (10.8 to 15.6)","13.9 (10.8 to 17.0)"
"Triglycerides, % change","-4.3 (-7.5 to -1.0)","-7.0 (-16.2 to 2.1)","-17.9 (-24.3 to -11.4)","-26.2 (-30.3 to -22.2)","-28.9 (-31.4 to -26.3)","-23.9 (-30.5 to -17.3)","-27.6 (-31.3 to -24.0)"
"hsCRP, % change","2.5 (-5.6 to 10.6)","-20.7 (-35.7 to -5.6)","-41.2 (-47.5 to -35.0)","-49.8 (-57.7 to -42.0)","-54.0 (-59.0 to -48.9)","-59.6 (-73.8 to -45.4)","-50.8 (-56.5 to -45.0)"
