# CAPTION: Data are n (%). Source: ADAE (treatment-emergent AEs, TRTEMFL='Y'). Denominator is all randomised participants who received at least one dose (safety population, SAFFL='Y' in ADSL). Each participant counted once per preferred term regardless of number of episodes. TEAE defined as AE with onset on or after first dose date (ASTDT >= TRTSDT) and up to 30 days post last dose. AE leading to discontinuation sourced from ADSL.DCSREAS = 'Adverse Event'.
# ---
"","Placebo","1mg","3mg","6mg","9mg","6to9mg","3to9mg"
"Any AE","30 (57%)","16 (57%)","14 (58%)","26 (93%)","44 (81%)","22 (92%)","37 (71%)"
"Serious AE","0 (0%)","0 (0%)","0 (0%)","1 (4%)","2 (4%)","0 (0%)","0 (0%)"
"AE leading to discontinuation","3 (6%)","4 (14%)","0 (0%)","4 (14%)","2 (4%)","3 (12%)","4 (8%)"
"nausea","12 (23%)","2 (7%)","5 (21%)","18 (64%)","22 (41%)","9 (38%)","13 (25%)"
"fatigue","7 (13%)","0 (0%)","3 (12%)","8 (29%)","21 (39%)","12 (50%)","11 (21%)"
"diarrhoea","6 (11%)","1 (4%)","5 (21%)","10 (36%)","8 (15%)","3 (12%)","12 (23%)"
"constipation","5 (9%)","8 (29%)","2 (8%)","3 (11%)","13 (24%)","2 (8%)","4 (8%)"
"decreased_appetite","6 (11%)","1 (4%)","4 (17%)","5 (18%)","13 (24%)","0 (0%)","7 (13%)"
"vomiting","3 (6%)","4 (14%)","0 (0%)","7 (25%)","3 (6%)","3 (12%)","2 (4%)"
"alopecia","0 (0%)","2 (7%)","0 (0%)","1 (4%)","6 (11%)","4 (17%)","5 (10%)"
"headache","2 (4%)","0 (0%)","0 (0%)","0 (0%)","2 (4%)","3 (12%)","4 (8%)"
