# CAPTION: Treatment-emergent adverse events by maximum severity. Source: ADAE (TRTEMFL='Y'). For each participant, the maximum severity (AESEVN: 1=Mild, 2=Moderate, 3=Severe) across all episodes of the given preferred term is reported. Denominator is safety population (N randomised who received >=1 dose). Participants are counted once per term at their worst severity grade.
# ---
"AE","ARM","N","Mild","Moderate","Severe","Total"
"nausea","Placebo",53,"4 (8%)","4 (8%)","1 (2%)","9 (17%)"
"nausea","1mg",28,"2 (7%)","1 (4%)","2 (7%)","5 (18%)"
"nausea","3mg",24,"3 (12%)","1 (4%)","1 (4%)","5 (21%)"
"nausea","6mg",28,"13 (46%)","6 (21%)","1 (4%)","20 (71%)"
"nausea","9mg",54,"6 (11%)","8 (15%)","6 (11%)","20 (37%)"
"nausea","6to9mg",24,"7 (29%)","2 (8%)","4 (17%)","13 (54%)"
"nausea","3to9mg",52,"9 (17%)","6 (12%)","0 (0%)","15 (29%)"
"fatigue","Placebo",53,"5 (9%)","2 (4%)","2 (4%)","9 (17%)"
"fatigue","1mg",28,"0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"fatigue","3mg",24,"1 (4%)","3 (12%)","0 (0%)","4 (17%)"
"fatigue","6mg",28,"4 (14%)","3 (11%)","2 (7%)","9 (32%)"
"fatigue","9mg",54,"17 (31%)","9 (17%)","3 (6%)","29 (54%)"
"fatigue","6to9mg",24,"4 (17%)","4 (17%)","2 (8%)","10 (42%)"
"fatigue","3to9mg",52,"8 (15%)","1 (2%)","1 (2%)","10 (19%)"
"diarrhoea","Placebo",53,"1 (2%)","1 (2%)","2 (4%)","4 (8%)"
"diarrhoea","1mg",28,"0 (0%)","0 (0%)","1 (4%)","1 (4%)"
"diarrhoea","3mg",24,"0 (0%)","1 (4%)","0 (0%)","1 (4%)"
"diarrhoea","6mg",28,"5 (18%)","5 (18%)","1 (4%)","11 (39%)"
"diarrhoea","9mg",54,"4 (7%)","0 (0%)","1 (2%)","5 (9%)"
"diarrhoea","6to9mg",24,"2 (8%)","0 (0%)","0 (0%)","2 (8%)"
"diarrhoea","3to9mg",52,"8 (15%)","3 (6%)","1 (2%)","12 (23%)"
"constipation","Placebo",53,"0 (0%)","3 (6%)","0 (0%)","3 (6%)"
"constipation","1mg",28,"2 (7%)","1 (4%)","0 (0%)","3 (11%)"
"constipation","3mg",24,"3 (12%)","0 (0%)","0 (0%)","3 (12%)"
"constipation","6mg",28,"0 (0%)","2 (7%)","0 (0%)","2 (7%)"
"constipation","9mg",54,"9 (17%)","3 (6%)","3 (6%)","15 (28%)"
"constipation","6to9mg",24,"4 (17%)","0 (0%)","1 (4%)","5 (21%)"
"constipation","3to9mg",52,"1 (2%)","4 (8%)","0 (0%)","5 (10%)"
"decreased_appetite","Placebo",53,"1 (2%)","2 (4%)","1 (2%)","4 (8%)"
"decreased_appetite","1mg",28,"0 (0%)","2 (7%)","0 (0%)","2 (7%)"
"decreased_appetite","3mg",24,"1 (4%)","0 (0%)","0 (0%)","1 (4%)"
"decreased_appetite","6mg",28,"0 (0%)","2 (7%)","0 (0%)","2 (7%)"
"decreased_appetite","9mg",54,"3 (6%)","5 (9%)","0 (0%)","8 (15%)"
"decreased_appetite","6to9mg",24,"0 (0%)","2 (8%)","0 (0%)","2 (8%)"
"decreased_appetite","3to9mg",52,"2 (4%)","2 (4%)","0 (0%)","4 (8%)"
"vomiting","Placebo",53,"3 (6%)","1 (2%)","1 (2%)","5 (9%)"
"vomiting","1mg",28,"0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"vomiting","3mg",24,"0 (0%)","0 (0%)","1 (4%)","1 (4%)"
"vomiting","6mg",28,"3 (11%)","2 (7%)","1 (4%)","6 (21%)"
"vomiting","9mg",54,"2 (4%)","1 (2%)","1 (2%)","4 (7%)"
"vomiting","6to9mg",24,"4 (17%)","0 (0%)","0 (0%)","4 (17%)"
"vomiting","3to9mg",52,"4 (8%)","1 (2%)","0 (0%)","5 (10%)"
"alopecia","Placebo",53,"0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"alopecia","1mg",28,"1 (4%)","0 (0%)","0 (0%)","1 (4%)"
"alopecia","3mg",24,"0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"alopecia","6mg",28,"0 (0%)","2 (7%)","0 (0%)","2 (7%)"
"alopecia","9mg",54,"1 (2%)","2 (4%)","2 (4%)","5 (9%)"
"alopecia","6to9mg",24,"2 (8%)","0 (0%)","0 (0%)","2 (8%)"
"alopecia","3to9mg",52,"2 (4%)","0 (0%)","1 (2%)","3 (6%)"
"headache","Placebo",53,"4 (8%)","0 (0%)","1 (2%)","5 (9%)"
"headache","1mg",28,"0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"headache","3mg",24,"0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"headache","6mg",28,"2 (7%)","0 (0%)","1 (4%)","3 (11%)"
"headache","9mg",54,"2 (4%)","4 (7%)","0 (0%)","6 (11%)"
"headache","6to9mg",24,"0 (0%)","1 (4%)","0 (0%)","1 (4%)"
"headache","3to9mg",52,"6 (12%)","4 (8%)","1 (2%)","11 (21%)"
