form,domain,variable,label,type,visit,unit,codelist
Demographics,DM,SUBJID,Subject ID,character,Screening,,
Demographics,DM,ARM,Treatment Arm,character,Screening,,Placebo|1mg|3mg|6mg|9mg|6to9mg|3to9mg
Demographics,DM,AGE,Age at Screening,numeric,Screening,years,
Demographics,DM,SEX,Sex,character,Screening,,Female|Male
Demographics,DM,RACE,Race,character,Screening,,White|Black|Other
Demographics,DM,ETHNIC,Ethnicity,character,Screening,,Hispanic or Latino|Not Hispanic or Latino
Demographics,DM,BMI_STRAT,BMI Stratification,character,Screening,,<35|>=35
Demographics,DM,DXA_SUB,DXA Substudy,character,Screening,,Yes|No
Demographics,DM,RFSTDTC,Date of First Dose,date,Baseline,,
Demographics,DM,COUNTRY,Country,character,Screening,,
Anthropometrics,VS,HEIGHT,Height,numeric,Screening,cm,
Anthropometrics,VS,WEIGHT,Body Weight,numeric,All,kg,
Anthropometrics,VS,BMI,Body Mass Index,numeric,All,kg/m2,
Anthropometrics,VS,WAIST,Waist Circumference,numeric,All,cm,
Anthropometrics,VS,HIP,Hip Circumference,numeric,All,cm,
Anthropometrics,VS,WHR,Waist-to-Hip Ratio,numeric,All,,
Vitals,VS,SYSBP,Systolic Blood Pressure,numeric,All,mmHg,
Vitals,VS,DIABP,Diastolic Blood Pressure,numeric,All,mmHg,
Vitals,VS,PULSE,Pulse Rate,numeric,All,bpm,
Vitals,VS,TEMP,Temperature,numeric,All,C,
Lab_Chemistry,LB,GLUC,Fasting Glucose,numeric,Scheduled,mmol/L,
Lab_Chemistry,LB,INSULIN,Fasting Insulin,numeric,Scheduled,pmol/L,
Lab_Chemistry,LB,HBA1C,HbA1c,numeric,Scheduled,mmol/mol,
Lab_Chemistry,LB,HOMA_IR,HOMA-IR,numeric,Scheduled,,
Lab_Chemistry,LB,ALT,Alanine Aminotransferase,numeric,Scheduled,U/L,
Lab_Chemistry,LB,AST,Aspartate Aminotransferase,numeric,Scheduled,U/L,
Lab_Chemistry,LB,CREAT,Creatinine,numeric,Scheduled,umol/L,
Lab_Chemistry,LB,HSCRP,High-sensitivity CRP,numeric,Scheduled,mg/L,
Lipids,LB,CHOL,Total Cholesterol,numeric,Scheduled,mmol/L,
Lipids,LB,HDL,HDL Cholesterol,numeric,Scheduled,mmol/L,
Lipids,LB,LDL,LDL Cholesterol,numeric,Scheduled,mmol/L,
Lipids,LB,TRIG,Triglycerides,numeric,Scheduled,mmol/L,
Lipids,LB,NONHDL,Non-HDL Cholesterol,numeric,Scheduled,mmol/L,
Lab_Hematology,LB,WBC,White Blood Cells,numeric,Scheduled,10^9/L,
Lab_Hematology,LB,HGB,Hemoglobin,numeric,Scheduled,g/L,
Lab_Hematology,LB,PLT,Platelets,numeric,Scheduled,10^9/L,
AE,AE,AETERM,Adverse Event Term,character,Any,,
AE,AE,AESEV,Severity,character,Any,,Mild|Moderate|Severe
AE,AE,AEREL,Relationship to Study Drug,character,Any,,Related|Not Related
AE,AE,AESER,Serious AE,character,Any,,Yes|No
AE,AE,AEOUT,Outcome,character,Any,,Recovered|Not Recovered|Fatal
AE,AE,AESTDTC,AE Start Date,date,Any,,
AE,AE,AEENDTC,AE End Date,date,Any,,
AE,AE,AEBODSYS,Body System,character,Any,,
AE,AE,AEDECOD,Preferred Term (MedDRA),character,Any,,
Drug_Admin,EX,EXDOSE,Dose Administered,numeric,All,mg,
Drug_Admin,EX,EXDOSU,Dose Unit,character,All,,mg
Drug_Admin,EX,EXROUTE,Route,character,All,,Subcutaneous
Drug_Admin,EX,EXSTDTC,Dosing Start Date,date,All,,
Drug_Admin,EX,EXENDTC,Dosing End Date,date,All,,
Drug_Admin,EX,EXADJ,Dose Adjustment Reason,character,All,,
Disposition,DS,DSDECOD,Disposition Event,character,End,,Completed|Adverse Event|Withdrawal by Subject|Lost to Follow-up|Other
Disposition,DS,DSSTDTC,Disposition Date,date,End,,
Disposition,DS,DSCAT,Category,character,End,,Treatment Discontinuation|Study Discontinuation
Disposition,DS,EPOCH,Epoch at Discontinuation,character,End,,Treatment|Follow-up
