"metric","tier","simulated","target","tolerance","deviation","pass","status"
"age_mean","CRITICAL",74.0945,75.1,0.05,0.0134,TRUE,"PASS"
"age_sd","CRITICAL",8.1846,8.25,0.05,0.0079,TRUE,"PASS"
"age_lt65_pct","CRITICAL",0.1457,0.13,0.05,0.1205,FALSE,"FAIL"
"age_65_80_pct","CRITICAL",0.622,0.57,0.05,0.0913,FALSE,"FAIL"
"age_gt80_pct","CRITICAL",0.2323,0.3,0.05,0.2257,FALSE,"FAIL"
"male_pct","CRITICAL",0.4055,0.44,0.05,0.0784,FALSE,"FAIL"
"female_pct","CRITICAL",0.5945,0.56,0.05,0.0616,FALSE,"FAIL"
"caucasian_pct","CRITICAL",0.8543,0.86,0.05,0.0066,TRUE,"PASS"
"african_pct","CRITICAL",0.0827,0.09,0.05,0.0814,FALSE,"FAIL"
"mmse_mean","CRITICAL",18.0866,18.1,0.05,7e-04,TRUE,"PASS"
"mmse_sd","CRITICAL",3.9842,4.21,0.05,0.0536,FALSE,"FAIL"
"completed_wk24_placebo_pct","CRITICAL",0.6628,0.7,0.05,0.0532,FALSE,"FAIL"
"completed_wk24_xan_low_pct","CRITICAL",0.3214,0.33,0.05,0.026,TRUE,"PASS"
"completed_wk24_xan_high_pct","CRITICAL",0.381,0.36,0.05,0.0582,FALSE,"FAIL"
"disc_ae_placebo_pct","CRITICAL",0.1279,0.09,0.05,0.4212,FALSE,"FAIL"
"disc_ae_xan_low_pct","CRITICAL",0.5595,0.52,0.05,0.076,FALSE,"FAIL"
"disc_ae_xan_high_pct","CRITICAL",0.4286,0.46,0.05,0.0683,FALSE,"FAIL"
"adas_baseline_placebo_mean","CRITICAL",23.3605,24.1,0.05,0.0307,TRUE,"PASS"
"adas_baseline_xan_low_mean","CRITICAL",25.3095,24.4,0.05,0.0373,TRUE,"PASS"
"adas_baseline_xan_high_mean","CRITICAL",21.9286,21.3,0.05,0.0295,TRUE,"PASS"
"adas_week24_placebo_mean","CRITICAL",25.5233,26.7,0.05,0.0441,TRUE,"PASS"
"adas_week24_xan_low_mean","CRITICAL",27.0119,26.4,0.05,0.0232,TRUE,"PASS"
"adas_week24_xan_high_mean","CRITICAL",23.1429,22.8,0.05,0.015,TRUE,"PASS"
"adas_change_placebo_mean","CRITICAL",2.1628,2.5,0.05,0.1349,FALSE,"FAIL"
"adas_change_xan_low_mean","CRITICAL",1.7024,2,0.05,0.1488,FALSE,"FAIL"
"adas_change_xan_high_mean","CRITICAL",1.2143,1.5,0.05,0.1905,FALSE,"FAIL"
"cibic_week24_placebo_mean","HIGH",4.186,4.3,0.1,0.0265,TRUE,"PASS"
"cibic_week24_xan_low_mean","HIGH",4.3929,4.2,0.1,0.0459,TRUE,"PASS"
"cibic_week24_xan_high_mean","HIGH",4.4643,4.3,0.1,0.0382,TRUE,"PASS"
"any_ae_placebo_pct","MODERATE",0.6395,0.756,0.2,0.1541,TRUE,"PASS"
"any_ae_xan_low_pct","MODERATE",0.5476,0.917,0.2,0.4028,FALSE,"FAIL"
"any_ae_xan_high_pct","MODERATE",0.6905,0.905,0.2,0.237,FALSE,"FAIL"
"app_site_pruritus_placebo_pct","CRITICAL",0.1047,0.07,0.1,0.495,FALSE,"FAIL"
"app_site_pruritus_xan_low_pct","CRITICAL",0.1429,0.262,0.1,0.4547,FALSE,"FAIL"
"app_site_pruritus_xan_high_pct","CRITICAL",0.131,0.262,0.1,0.5002,FALSE,"FAIL"
"app_site_erythema_placebo_pct","CRITICAL",0.0233,0.035,0.1,0.3355,FALSE,"FAIL"
"app_site_erythema_xan_low_pct","CRITICAL",0.0952,0.143,0.1,0.334,FALSE,"FAIL"
"app_site_erythema_xan_high_pct","CRITICAL",0.0714,0.179,0.1,0.601,FALSE,"FAIL"
"pruritus_placebo_pct","HIGH",0.1163,0.093,0.15,0.2503,FALSE,"FAIL"
"pruritus_xan_low_pct","HIGH",0.0952,0.25,0.15,0.619,FALSE,"FAIL"
"pruritus_xan_high_pct","HIGH",0.1548,0.31,0.15,0.5008,FALSE,"FAIL"
"erythema_placebo_pct","HIGH",0.0814,0.093,0.15,0.1248,TRUE,"PASS"
"erythema_xan_low_pct","HIGH",0.131,0.167,0.15,0.2159,FALSE,"FAIL"
"erythema_xan_high_pct","HIGH",0.1071,0.167,0.15,0.3584,FALSE,"FAIL"
"rash_placebo_pct","HIGH",0,0.058,0.15,1,FALSE,"FAIL"
"rash_xan_low_pct","HIGH",0.0714,0.155,0.15,0.5392,FALSE,"FAIL"
"rash_xan_high_pct","HIGH",0.0714,0.107,0.15,0.3324,FALSE,"FAIL"
"dizziness_placebo_pct","MODERATE",0.0349,0.023,0.2,0.5167,FALSE,"FAIL"
"dizziness_xan_low_pct","MODERATE",0.0833,0.095,0.2,0.1228,TRUE,"PASS"
"dizziness_xan_high_pct","MODERATE",0.119,0.131,0.2,0.0912,TRUE,"PASS"
"syncope_placebo_pct","MODERATE",0,0,0.2,0,TRUE,"PASS"
"syncope_xan_low_pct","MODERATE",0.0238,0.048,0.2,0.504,FALSE,"FAIL"
"syncope_xan_high_pct","MODERATE",0.0238,0.036,0.2,0.3386,FALSE,"FAIL"
"nausea_placebo_pct","MODERATE",0.0233,0.035,0.2,0.3355,FALSE,"FAIL"
"nausea_xan_low_pct","MODERATE",0.0119,0.036,0.2,0.6693,FALSE,"FAIL"
"nausea_xan_high_pct","MODERATE",0.0476,0.071,0.2,0.3293,FALSE,"FAIL"
"sinus_bradycardia_placebo_pct","MODERATE",0.0116,0.023,0.2,0.4944,FALSE,"FAIL"
"sinus_bradycardia_xan_low_pct","MODERATE",0.0595,0.083,0.2,0.2828,FALSE,"FAIL"
"sinus_bradycardia_xan_high_pct","MODERATE",0.0595,0.095,0.2,0.3734,FALSE,"FAIL"
"cumulative_dose_xan_low_mean","HIGH",4973.6,5347.3,0.1,0.0699,TRUE,"PASS"
"cumulative_dose_xan_high_mean","HIGH",8568.4536,7551,0.1,0.1347,FALSE,"FAIL"
"avg_daily_dose_xan_low","HIGH",52.616,54,0.1,0.0256,TRUE,"PASS"
"avg_daily_dose_xan_high","HIGH",78.9351,71.6,0.1,0.1024,FALSE,"FAIL"
