DOMAIN,VARIABLE,LABEL,TYPE,ORIGIN,DERIVATION
DM,STUDYID,Study Identifier,char,Assigned,KN564
DM,DOMAIN,Domain Abbreviation,char,Assigned,DM
DM,USUBJID,Unique Subject Identifier,char,Derived,STUDYID-SUBJID
DM,SUBJID,Subject Identifier,char,CRF,
DM,RFSTDTC,Reference Start Date,char,CRF,Randomization date
DM,AGE,Age,num,CRF,Age at randomization
DM,AGEU,Age Units,char,Assigned,YEARS
DM,SEX,Sex,char,CRF,M or F
DM,RACE,Race,char,CRF,
DM,COUNTRY,Country,char,CRF,Derived from REGION
DM,ARM,Planned Arm,char,CRF,Treatment assignment
DM,ARMCD,Planned Arm Code,char,Derived,PEMBRO or PBO
DM,ACTARM,Actual Arm,char,CRF,Same as ARM (double-blind)
DM,ACTARMCD,Actual Arm Code,char,Derived,Same as ARMCD
EX,STUDYID,Study Identifier,char,Assigned,KN564
EX,DOMAIN,Domain Abbreviation,char,Assigned,EX
EX,USUBJID,Unique Subject Identifier,char,Derived,
EX,EXSEQ,Sequence Number,num,Derived,Sequential within subject
EX,EXTRT,Treatment Name,char,CRF,
EX,EXDOSE,Dose,num,CRF,
EX,EXDOSU,Dose Units,char,Assigned,mg
EX,EXROUTE,Route,char,Assigned,INTRAVENOUS
EX,VISITNUM,Visit Number,num,CRF,Cycle number
EX,EXSTDY,Start Day,num,Derived,Study day of dose
EX,EXENDY,End Day,num,Derived,Same as start (single dose)
AE,STUDYID,Study Identifier,char,Assigned,KN564
AE,DOMAIN,Domain Abbreviation,char,Assigned,AE
AE,USUBJID,Unique Subject Identifier,char,Derived,
AE,AESEQ,Sequence Number,num,Derived,
AE,AETERM,Reported Term,char,CRF,
AE,AEDECOD,Dictionary-Derived Term,char,Derived,Same as AETERM (simulated)
AE,AESTDY,Start Day,num,CRF,
AE,AEENDY,End Day,num,CRF,
AE,AESEV,Severity,char,Derived,From CTCAE grade
AE,AESER,Serious Event,char,CRF,Y/N
AE,AEREL,Causality,char,CRF,
AE,AEACN,Action Taken,char,CRF,
AE,AEOUT,Outcome,char,CRF,
AE,AETOXGR,Toxicity Grade,char,CRF,CTCAE grade as character
LB,STUDYID,Study Identifier,char,Assigned,KN564
LB,DOMAIN,Domain Abbreviation,char,Assigned,LB
LB,USUBJID,Unique Subject Identifier,char,Derived,
LB,LBSEQ,Sequence Number,num,Derived,
LB,LBTESTCD,Lab Test Short Name,char,CRF,TSH or FT4
LB,LBTEST,Lab Test Name,char,Derived,Full test name
LB,LBORRES,Result (Original),char,CRF,
LB,LBORRESU,Units (Original),char,CRF,
LB,LBSTRESN,Result (Standard Numeric),num,Derived,
LB,LBNRIND,Reference Range Indicator,char,Derived,NORMAL/HIGH/LOW
LB,LBBLFL,Baseline Flag,char,Derived,Y at first visit
LB,LBDY,Study Day,num,Derived,
TU,STUDYID,Study Identifier,char,Assigned,KN564
TU,DOMAIN,Domain Abbreviation,char,Assigned,TU
TU,USUBJID,Unique Subject Identifier,char,Derived,
TU,TUSEQ,Sequence Number,num,Derived,
TU,TUEVAL,Evaluator,char,CRF,INVESTIGATOR
TU,TURESP,Tumor Response,char,CRF,NED/RECURRENCE
TU,TUDY,Study Day,num,Derived,
DS,STUDYID,Study Identifier,char,Assigned,KN564
DS,DOMAIN,Domain Abbreviation,char,Assigned,DS
DS,USUBJID,Unique Subject Identifier,char,Derived,
DS,DSSEQ,Sequence Number,num,Derived,
DS,DSDECOD,Disposition Code,char,CRF,
DS,DSCAT,Category,char,CRF,TREATMENT or STUDY
DS,DSSTDY,Start Day,num,Derived,
