label,type,id,start_pdf_page,end_pdf_page,n_pages,filename,multi_marker_on_page
Pages 41-151 (pre-table content),Unassigned,,41,42,2,Unassigned_p41-p42.pdf,False
Table 14-1.01,Table,14-1.01,43,43,1,Table_14-1.01_p43-p43.pdf,False
Table 14-1.02,Table,14-1.02,44,44,1,Table_14-1.02_p44-p44.pdf,False
Table 14-1.03,Table,14-1.03,45,45,1,Table_14-1.03_p45-p45.pdf,False
Table 14-2.01,Table,14-2.01,46,48,3,Table_14-2.01_p46-p48.pdf,False
Table 14-3.01,Table,14-3.01,49,49,1,Table_14-3.01_p49-p49.pdf,False
Table 14-3.02,Table,14-3.02,50,50,1,Table_14-3.02_p50-p50.pdf,False
Table 14-3.03,Table,14-3.03,51,51,1,Table_14-3.03_p51-p51.pdf,False
Table 14-3.04,Table,14-3.04,52,52,1,Table_14-3.04_p52-p52.pdf,False
Table 14-3.05,Table,14-3.05,53,53,1,Table_14-3.05_p53-p53.pdf,False
Table 14-3.06,Table,14-3.06,54,54,1,Table_14-3.06_p54-p54.pdf,False
Table 14-3.07,Table,14-3.07,55,55,1,Table_14-3.07_p55-p55.pdf,False
Table 14-3.08,Table,14-3.08,56,56,1,Table_14-3.08_p56-p56.pdf,False
Table 14-3.09,Table,14-3.09,57,57,1,Table_14-3.09_p57-p57.pdf,False
Table 14-3.10,Table,14-3.10,58,58,1,Table_14-3.10_p58-p58.pdf,False
Table 14-3.11,Table,14-3.11,59,59,1,Table_14-3.11_p59-p59.pdf,False
Table 14-3.12,Table,14-3.12,60,60,1,Table_14-3.12_p60-p60.pdf,False
Table 14-3.13,Table,14-3.13,61,61,1,Table_14-3.13_p61-p61.pdf,False
Table 14-4.01,Table,14-4.01,62,62,1,Table_14-4.01_p62-p62.pdf,False
Table 14-5.01,Table,14-5.01,63,78,16,Table_14-5.01_p63-p78.pdf,False
Table 14-5.02,Table,14-5.02,79,79,1,Table_14-5.02_p79-p79.pdf,False
Table 14-6.01,Table,14-6.01,80,94,15,Table_14-6.01_p80-p94.pdf,False
Table 14-6.02,Table,14-6.02,95,96,2,Table_14-6.02_p95-p96.pdf,False
Table 14-6.03,Table,14-6.03,97,98,2,Table_14-6.03_p97-p98.pdf,False
Table 14-6.04,Table,14-6.04,99,131,33,Table_14-6.04_p99-p131.pdf,False
Table 14-6.05,Table,14-6.05,132,137,6,Table_14-6.05_p132-p137.pdf,False
Table 14-6.06,Table,14-6.06,138,138,1,Table_14-6.06_p138-p138.pdf,False
Table 14-7.01,Table,14-7.01,139,143,5,Table_14-7.01_p139-p143.pdf,False
Table 14-7.02,Table,14-7.02,144,147,4,Table_14-7.02_p144-p147.pdf,False
Table 14-7.03,Table,14-7.03,148,148,1,Table_14-7.03_p148-p148.pdf,False
Table 14-7.04,Table,14-7.04,149,150,2,Table_14-7.04_p149-p150.pdf,False
Figure 14-1,Figure,14-1,151,151,1,Figure_14-1_p151-p151.pdf,False
