DATASET,VARIABLE,LABEL,TYPE,DERIVATION
ADSL,STUDYID,Study Identifier,char,Assigned KN564
ADSL,USUBJID,Unique Subject Identifier,char,From DM.SUBJID
ADSL,SUBJID,Subject Identifier,char,From DM
ADSL,AGE,Age,num,From DM
ADSL,AGEGR1,Age Group,char,<50/50-<65/>=65
ADSL,AGEGR1N,Age Group (Numeric),num,1/2/3
ADSL,SEX,Sex,char,From DM
ADSL,RACE,Race,char,From DM
ADSL,REGION,Region,char,From DM
ADSL,TRT01P,Planned Treatment,char,From DM.ARM
ADSL,TRT01A,Actual Treatment,char,Same as TRT01P (double-blind)
ADSL,TRT01PN,Planned Treatment (Numeric),num,1=PEMBRO 2=PBO
ADSL,RISK_CATEGORY,Risk Category,char,From DM
ADSL,ECOG_BL,Baseline ECOG,int,From DM
ADSL,SARCOMATOID,Sarcomatoid Features,int,From DM
ADSL,PDL1_CPS,PD-L1 CPS,char,From DM
ADSL,STRATUM,Stratification Stratum,char,From DM
ADSL,SAFFL,Safety Population Flag,char,Y for all randomized
ADSL,ITTFL,ITT Population Flag,char,Y for all randomized
ADSL,RANDFL,Randomized Flag,char,Y for all
ADSL,TRTDUR,Treatment Duration (days),num,Last dose day - first dose day + 1
ADSL,NDOSES,Number of Doses Received,num,Count of doses with EXDOSE > 0
ADSL,EOSSTT,End of Study Status,char,COMPLETED or DISCONTINUED
ADSL,DCSREAS,Reason for Discontinuation,char,From DS.DSDECOD if discontinued
ADAE,STUDYID,Study Identifier,char,Assigned
ADAE,USUBJID,Unique Subject Identifier,char,From ADSL
ADAE,AETERM,AE Preferred Term,char,From AE
ADAE,ASTDY,Analysis Start Day,num,AE start study day
ADAE,AENDY,Analysis End Day,num,AE end study day
ADAE,ATOXGR,Analysis Toxicity Grade,char,CTCAE grade
ADAE,AESEVN,Severity (Numeric),num,Grade 1-4
ADAE,AESER,Serious Event,char,Y/N
ADAE,AREL,Analysis Causality,char,From AE.AEREL
ADAE,AEACN,Action Taken,char,From AE
ADAE,AECAT,AE Category,char,IMMUNE_MEDIATED/GENERAL/THYROID
ADAE,AEOUT,AE Outcome,char,From AE
ADAE,TRTEMFL,Treatment Emergent Flag,char,Y if onset during treatment
ADAE,CQ01NAM,Custom Query Name,char,IMMUNE-MEDIATED AES if applicable
ADAE,TRT01A,Actual Treatment,char,From ADSL
ADTTE,STUDYID,Study Identifier,char,Assigned
ADTTE,USUBJID,Unique Subject Identifier,char,From ADSL
ADTTE,PARAMCD,Parameter Code,char,DFS or OS
ADTTE,PARAM,Parameter Description,char,Disease-Free Survival or Overall Survival
ADTTE,AVAL,Analysis Value (days),num,Time to event or censor
ADTTE,CNSR,Censor Flag,num,0=event 1=censored
ADTTE,EVNTDESC,Event Description,char,RECURRENCE/DEATH/CENSORED
ADTTE,STARTDT,Time-to-Event Origin,num,Day 1 (randomization)
ADTTE,TRT01P,Planned Treatment,char,From ADSL
ADTTE,TRT01PN,Planned Treatment (Numeric),num,From ADSL
ADTTE,RISK_CATEGORY,Risk Category,char,From ADSL
ADTTE,ECOG_BL,Baseline ECOG,int,From ADSL
