FORM,VARIABLE,TYPE,LABEL,VISIT,REQUIRED
DM,SUBJID,char,Subject Identifier,SCREENING,Y
DM,AGE,num,Age at Randomization,SCREENING,Y
DM,SEX,char,Sex (M/F),SCREENING,Y
DM,RACE,char,Race,SCREENING,Y
DM,REGION,char,Geographic Region,SCREENING,Y
DM,ARM,char,Treatment Arm,SCREENING,Y
DM,RISK_CATEGORY,char,Risk Category,SCREENING,Y
DM,ECOG_BL,int,Baseline ECOG PS,SCREENING,Y
DM,SARCOMATOID,int,Sarcomatoid Features,SCREENING,Y
DM,PDL1_CPS,char,PD-L1 CPS Category,SCREENING,N
DM,RANDDT,date,Randomization Date,SCREENING,Y
DM,STRATUM,char,Stratification Stratum,SCREENING,Y
EX,SUBJID,char,Subject Identifier,CYCLE,Y
EX,CYCLE,int,Cycle Number,CYCLE,Y
EX,EXSTDT,date,Dose Date,CYCLE,Y
EX,EXDOSE,num,Dose Administered (mg),CYCLE,Y
EX,DOSE_STATUS,char,Dose Status,CYCLE,Y
EX,CUMULATIVE_DOSES,int,Cumulative Doses,CYCLE,Y
AE,SUBJID,char,Subject Identifier,ANY,Y
AE,AETERM,char,AE Preferred Term,ANY,Y
AE,AESTDT,date,AE Start Date,ANY,Y
AE,AEENDT,date,AE End Date,ANY,N
AE,AEGR,int,CTCAE Grade,ANY,Y
AE,AESER,int,Serious AE Flag,ANY,Y
AE,AEREL,char,Relationship to Treatment,ANY,Y
AE,AEACN,char,Action Taken,ANY,Y
AE,AECAT,char,AE Category,ANY,Y
AE,AEOUT,char,AE Outcome,ANY,Y
LB,SUBJID,char,Subject Identifier,CYCLE,Y
LB,VISIT_DAY,int,Visit Day,CYCLE,Y
LB,LBTEST,char,Lab Test Name,CYCLE,Y
LB,LBORRES,num,Lab Result,CYCLE,Y
LB,LBORRESU,char,Units,CYCLE,Y
LB,LBNRIND,char,Reference Range Indicator,CYCLE,Y
LB,LBBLFL,char,Baseline Flag,CYCLE,N
TU,SUBJID,char,Subject Identifier,IMAGING,Y
TU,VISIT_DAY,int,Imaging Visit Day,IMAGING,Y
TU,TUEVAL,char,Evaluator,IMAGING,Y
TU,TURESP,char,Tumor Response,IMAGING,Y
RS,SUBJID,char,Subject Identifier,IMAGING,Y
RS,VISIT_DAY,int,Visit Day,IMAGING,Y
RS,RSEVAL,char,Evaluator,IMAGING,Y
RS,RSSTRESC,char,DFS Status,IMAGING,Y
DS,SUBJID,char,Subject Identifier,EOT,Y
DS,DSSTDT,date,Disposition Date,EOT,Y
DS,DSDECOD,char,Disposition Code,EOT,Y
DS,DSCAT,char,Category,EOT,Y
