Characteristic,Pembrolizumab (N=496),Placebo (N=498)
N,496,498
"Age, mean (SD)",59.9 (9.7),59.4 (10.1)
"Age group, n (%)","",""
  <50,81 (16.3),91 (18.3)
  50-<65,263 (53.0),247 (49.6)
  >=65,152 (30.6),160 (32.1)
"Sex, n (%)","",""
  M,349 (70.4),361 (72.5)
  F,147 (29.6),137 (27.5)
"Race, n (%)","",""
  ASIAN,129 (26.0),136 (27.3)
  BLACK,14 (2.8),25 (5.0)
  OTHER,55 (11.1),56 (11.2)
  WHITE,298 (60.1),281 (56.4)
"Region, n (%)","",""
  OTHER,347 (70.0),348 (69.9)
  US,149 (30.0),150 (30.1)
"ECOG PS, n (%)","",""
  0,417 (84.1),417 (83.7)
  1,79 (15.9),81 (16.3)
"Risk category, n (%)","",""
  M0_INT_HIGH,419 (84.5),436 (87.6)
  M0_HIGH,48 (9.7),32 (6.4)
  M1_NED,29 (5.8),30 (6.0)
"Sarcomatoid features, n (%)","",""
  Yes,43 (8.7),55 (11.0)
  No,453 (91.3),443 (89.0)
"PD-L1 CPS, n (%)","",""
  <1,115 (23.2),129 (25.9)
  >=1,380 (76.6),364 (73.1)
  MISSING,1 (0.2),5 (1.0)
"Number of doses, mean (SD)",15.3 (4.0),16.8 (1.4)
