ARM,AETERM,N_patients,N_events,Pct
PEMBROLIZUMAB,NAUSEA,66,96,13.3
PEMBROLIZUMAB,FATIGUE,144,305,29
PEMBROLIZUMAB,ARTHRALGIA,92,128,18.5
PLACEBO,DIARRHEA,48,53,9.6
PEMBROLIZUMAB,HYPOTHYROIDISM,133,133,26.8
PEMBROLIZUMAB,DIARRHEA,65,78,13.1
PEMBROLIZUMAB,PRURITUS,63,74,12.7
PEMBROLIZUMAB,HYPERTHYROIDISM,75,75,15.1
PLACEBO,FATIGUE,119,219,23.9
PLACEBO,ARTHRALGIA,67,90,13.5
PLACEBO,PRURITUS,40,49,8
PEMBROLIZUMAB,RASH,64,75,12.9
PLACEBO,NAUSEA,44,61,8.8
PLACEBO,HYPOTHYROIDISM,19,19,3.8
PLACEBO,RASH,31,35,6.2
PLACEBO,HYPERTHYROIDISM,3,3,0.6
